Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	60.4924	110.229
103.256	60.501	110.421
103.256	60.5097	110.614
103.256	60.5184	110.807
103.256	60.527	111.001
103.256	60.5357	111.194
103.256	60.5444	111.388
103.256	60.553	111.581
103.256	60.5617	111.775
103.256	60.5703	111.969
103.256	60.579	112.163
103.256	60.5877	112.358
103.256	60.5963	112.552
103.256	60.605	112.746
103.256	60.6136	112.941
103.256	60.6223	113.136
103.256	60.631	113.331
103.256	60.6396	113.526
103.256	60.6483	113.722
103.256	60.6569	113.917
103.256	60.6656	114.113
103.256	60.6742	114.308
103.256	60.6829	114.504
103.256	60.6915	114.7
103.256	60.7002	114.897
103.256	60.7088	115.093
103.256	60.7175	115.289
103.256	60.7261	115.486
103.256	60.7348	115.683
103.256	60.7434	115.88
103.256	60.7521	116.077
103.256	60.7607	116.274
103.256	60.7694	116.471
103.256	60.778	116.669
103.256	60.7867	116.867
103.256	60.7953	117.064
103.256	60.804	117.262
103.256	60.8126	117.461
103.256	60.8213	117.659
103.256	60.8299	117.857
103.256	60.8386	118.056
103.256	60.8472	118.255
103.256	60.8559	118.453
103.256	60.8645	118.652
103.256	60.8731	118.852
103.256	60.8818	119.051
103.256	60.8904	119.25
103.256	60.8991	119.45
103.256	60.9077	119.65
103.256	60.9163	119.85
103.256	60.925	120.05
103.256	60.9336	120.25
103.256	60.9423	120.45
103.256	60.9509	120.651
103.256	60.9595	120.851
103.256	60.9682	121.052
103.256	60.9768	121.253
103.256	60.9854	121.454
103.256	60.9941	121.655
103.256	61.0027	121.857
103.256	60.09	108.698
103.256	60.0986	108.892
103.256	60.1073	109.087
103.256	60.116	109.282
103.256	60.1246	109.477
103.256	60.1333	109.672
103.256	60.1419	109.867
103.256	60.1506	110.062
103.256	60.1593	110.258
103.256	60.1679	110.453
103.256	60.1766	110.649
103.256	60.1852	110.845
103.256	60.1939	111.041
103.256	60.2026	111.237
103.256	60.2112	111.434
103.256	60.2199	111.63
103.256	60.2285	111.827
103.256	60.2372	112.024
103.256	60.2458	112.221
103.256	60.2545	112.418
103.256	60.2631	112.615
103.256	60.2718	112.813
103.256	60.2805	113.01
103.256	60.2891	113.208
103.256	60.2978	113.406
103.256	60.3064	113.604
103.256	60.3151	113.802
103.256	60.3237	114
103.256	60.3324	114.199
103.256	60.341	114.397
103.256	60.3497	114.596
