Longitude(deg)	Lattitude(deg)	Alttitude(km)
102.795	52.8851	1.38675
102.78	52.8852	1.41786
102.036	52.9006	1.02705
102.021	52.9007	1.03998
102.006	52.9009	1.05307
101.991	52.901	1.06632
101.976	52.9012	1.07972
101.961	52.9013	1.09328
101.946	52.9015	1.107
101.931	52.9016	1.12087
101.917	52.9018	1.1349
101.902	52.9019	1.14909
101.887	52.9021	1.16343
101.872	52.9022	1.17793
101.857	52.9024	1.19259
101.842	52.9025	1.2074
101.827	52.9026	1.22237
101.812	52.9028	1.2375
101.797	52.9029	1.25278
101.783	52.903	1.26822
101.768	52.9031	1.28382
101.753	52.9033	1.29957
101.738	52.9034	1.31548
101.723	52.9035	1.33155
101.708	52.9036	1.34777
101.693	52.9038	1.36415
101.678	52.9039	1.38069
101.663	52.904	1.39739
101.649	52.9041	1.41424
101.634	52.9042	1.43124
101.619	52.9043	1.44841
101.604	52.9044	1.46573
101.589	52.9045	1.48321
101.574	52.9046	1.50084
101.559	52.9047	1.51863
101.544	52.9049	1.53658
101.53	52.9049	1.55468
101.515	52.905	1.57294
101.5	52.9051	1.59136
101.485	52.9052	1.60994
101.47	52.9053	1.62867
101.455	52.9054	1.64756
101.44	52.9055	1.6666
101.425	52.9056	1.6858
101.41	52.9057	1.70516
101.396	52.9058	1.72467
101.381	52.9058	1.74435
101.366	52.9059	1.76417
101.351	52.906	1.78416
101.336	52.9061	1.8043
101.321	52.9061	1.8246
101.306	52.9062	1.84505
101.291	52.9063	1.86566
101.276	52.9063	1.88643
101.262	52.9064	1.90736
101.247	52.9065	1.92844
101.232	52.9065	1.94967
101.217	52.9066	1.97107
101.202	52.9066	1.99262
101.187	52.9067	2.01433
101.172	52.9068	2.03619
101.157	52.9068	2.05821
101.142	52.9069	2.08039
101.128	52.9069	2.10273
101.113	52.907	2.12522
101.098	52.907	2.14787
101.083	52.907	2.17067
101.068	52.9071	2.19363
101.053	52.9071	2.21675
101.038	52.9072	2.24002
102.527	52.8942	1.11578
102.512	52.8944	1.13226
102.497	52.8947	1.1489
102.482	52.8949	1.1657
102.467	52.8951	1.18266
102.453	52.8953	1.19977
102.438	52.8955	1.21704
102.423	52.8957	1.23446
102.408	52.8959	1.25205
102.393	52.8962	1.26979
102.378	52.8964	1.28768
102.363	52.8966	1.30573
102.348	52.8968	1.32394
102.333	52.897	1.34231
102.319	52.8972	1.36083
102.304	52.8974	1.37951
102.289	52.8975	1.39835
102.274	52.8977	1.41734
102.259	52.8979	1.43649
102.244	52.8981	1.45579
102.229	52.8983	1.47526
102.214	52.8985	1.49487
102.2	52.8987	1.51465
102.185	52.8988	1.53458
102.17	52.899	1.55467
102.155	52.8992	1.57492
102.14	52.8994	1.59532
102.125	52.8996	1.61588
102.11	52.8997	1.6366
102.095	52.8999	1.65747
102.08	52.9001	1.6785
102.066	52.9002	1.69968
102.051	52.9004	1.72103
102.036	52.9006	1.74253
102.021	52.9007	1.76418
102.006	52.9009	1.786
101.991	52.901	1.80796
101.976	52.9012	1.83009
101.961	52.9013	1.85237
101.947	52.9015	1.87481
101.932	52.9016	1.89741
101.917	52.9018	1.92016
101.902	52.9019	1.94307
101.887	52.9021	1.96614
101.872	52.9022	1.98936
101.857	52.9023	2.01274
101.842	52.9025	2.03628
101.827	52.9026	2.05997
101.813	52.9028	2.08382
101.798	52.9029	2.10782
101.783	52.903	2.13199
101.768	52.9031	2.15631
101.753	52.9033	2.18078
101.738	52.9034	2.20541
101.723	52.9035	2.2302
101.708	52.9036	2.25515
101.694	52.9038	2.28025
101.679	52.9039	2.30551
101.664	52.904	2.33093
101.649	52.9041	2.3565
101.634	52.9042	2.38223
101.619	52.9043	2.40811
101.604	52.9044	2.43415
101.589	52.9045	2.46035
101.574	52.9046	2.48671
101.56	52.9047	2.51322
101.545	52.9048	2.53989
101.53	52.9049	2.56671
101.515	52.905	2.5937
103.003	52.8862	0.819337
102.988	52.8864	0.839532
102.973	52.8867	0.859883
102.959	52.887	0.880391
102.944	52.8873	0.901056
102.929	52.8875	0.921878
102.914	52.8878	0.942857
102.899	52.8881	0.963992
102.884	52.8884	0.985283
102.869	52.8886	1.00673
102.854	52.8889	1.02834
102.84	52.8891	1.0501
102.825	52.8894	1.07202
102.81	52.8897	1.09409
102.795	52.8899	1.11632
102.78	52.8902	1.13871
102.765	52.8904	1.16126
102.75	52.8907	1.18396
102.735	52.8909	1.20682
102.72	52.8912	1.22983
102.706	52.8914	1.25301
